"ordering","paper","publication_date","city","state","region","trade_type","market_label","sampling_date","market_sector","capturing_sector","species_id","genus","family","order","superorder","elasmobranchii_or_teleostei","dna_technique","dna_analysis","gene","iucn_redlist_(paper_status)","iucn_redlist_(updated_status)","redbook_status_(445/2014)","redbook_status_(148/2022)","cites_listed_species","mislabel(in53)","endemic_species","ps"
"A0240","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43756.0","fish market","NA","Rhizoprionodon porosus","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","LC","VU","DD","NA","no","no","no","NA"
"A0241","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43606.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0242","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43608.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0243","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43608.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0244","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43608.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0245","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43756.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0246","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43762.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0247","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43765.0","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","Appendix II","no","no","NA"
"A0248","Alvarenga et al. 2021","2021","Niterói","Rio de Janeiro","Southeast","shark","shark","43232.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0249","Alvarenga et al. 2021","2021","Niterói","Rio de Janeiro","Southeast","shark","shark","43232.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0250","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43249.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0251","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43365.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","CytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0252","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43540.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0253","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43595.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","VU","VU","CR","CR","Appendix II","yes","no","NA"
"A0254","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43608.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0255","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43762.0","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","CytB","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0256","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Squalus cubensis","Squalus","Squalidae","Squaliformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","LC","LC","DD","NA","no","yes","no","NA"
"A0257","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43569.0","fish market","NA","Squalus cubensis","Squalus","Squalidae","Squaliformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","LC","LC","DD","NA","no","yes","no","NA"
"A0258","Alvarenga et al. 2021","2021","Niterói","Rio de Janeiro","Southeast","guitarfish","guitarfish","43195.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0259","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43513.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0260","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43540.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0261","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43593.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0262","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43593.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0263","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43593.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0264","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43593.0","NA","Fishing artisanal","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0265","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43593.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0266","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43595.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0267","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43608.0","NA","Fishing artisanal","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0268","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43737.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0269","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43756.0","restaurant","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0270","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43762.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0271","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43762.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0272","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43765.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","EN","EN","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0273","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43765.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","CytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0274","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43765.0","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","CytB","EN","EN","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0275","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43365.0","fish market","NA","Squatina occulta","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0276","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43595.0","NA","Fishing artisanal","Squatina occulta","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0277","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43595.0","NA","Fishing artisanal","Squatina occulta","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","CR","CR","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0278","Alvarenga et al. 2021","2021","Niterói","Rio de Janeiro","Southeast","shark","shark","43195.0","NA","Fishing artisanal","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI andCytB","LC","LC","NT","NA","no","yes","no","NA"
"A0279","Alvarenga et al. 2021","2021","Niterói","Rio de Janeiro","Southeast","shark","shark","43195.0","NA","Fishing artisanal","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","CytB","LC","LC","NT","NA","no","yes","no","NA"
"A0280","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43249.0","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI andCytB","LC","LC","NT","NA","no","yes","no","NA"
"A0281","Alvarenga et al. 2021","2021","Saquarema","Rio de Janeiro","Southeast","shark","shark","43254.0","NA","Fishing artisanal","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI andCytB","LC","LC","NT","NA","no","yes","no","NA"
"A0282","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43257.0","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI andCytB","LC","LC","NT","NA","no","yes","no","NA"
"A0283","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","shark","shark","43365.0","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","CytB","LC","LC","NT","NA","no","yes","no","NA"
"A0284","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus brevipinna","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","NT","VU","DD","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0285","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0286","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0287","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0288","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0289","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0290","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0291","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0292","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0293","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0294","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0295","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0296","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0297","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0298","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0299","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0300","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0301","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0302","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0303","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0304","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","VU","NT","NA","Appendix II","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0305","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus obscurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","EN","EN","EN","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0306","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Carcharhinus obscurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","VU","EN","EN","EN","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0311","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","NT","NT","NT","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0312","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","NT","NT","NT","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0313","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","NT","NT","NT","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0314","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","NT","NT","NT","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0315","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","NT","NT","NT","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
"A0325","Bernardo et al. 2020","2020","Matosinhos, Guaratuba ou Pontal do Paraná (??)","Paraná","South","shark","shark","Oct 2017-Nov 2018","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","DNA barcode","COI","LC","NT","NT","NA","no","no","no","Fishmonger close to Landings point/Similarity analysis instead of phylogenetics analysis (NJ tree)"
